"asin","precio_actual_mx","precio_actual_usd","price","title","precio_sugerido","url_usa","vendedor_actual_mx","vendedor_actual_usa","precio_competitivo"
"B0BZS9S982",1132.78,16.99,"$906.54","CALOMED Scrub Cap for Women and Men, Euro Style Scrub Caps, Working Hat, Head Cover with Buttons, Long or Short Hair","1024.82","https://www.amazon.com/dp/B0BZS9S982","THE MEX CENTRE","CALOMED","1032.78"
"B0DTQTDFNC",1090,11.99,"$600.30","SNNDER Funny Science Cat Notebook Journal, Funny Cat Gifts for Cat Lovers Science Teachers Scientists, Cat Lady Mom Gifts, Cat Office Supplies, Hardcover Spiral Notebook 5.5x8.3 Inch","815.87","https://www.amazon.com/dp/B0DTQTDFNC","SEONGSAN","shenzhenshixiaoyumaoyiyouxiangongsi","990.00"
"B0D4584NJH",1526,11.99,"$607.70","DWIYITTN - Cuaderno pequeño en espiral (morado) - 5.7 x 8.2 pulgadas, 160 páginas con forro, diario de viaje A5 para niños y niñas, con soporte para bolígrafo y bolígrafo, tapa dura, para escribir,","815.87","https://www.amazon.com/dp/B0D4584NJH",,"SHAOGUAN XINHUA HONGDA PRINTING CO., LTD","1426.00"
